false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,3,Razer Basilisk Ultimate,130.0,75.0,42.0,107.0,Ergonomic,Back - minimal,Flat,Flat,Right,Yes,No,Plastic,Wireless,Razer Focus+,Optical,Back - minimal (46%),20000,1000,650,50,3,2
false,5,Darmoshark M3,129.6,66.1,39.2,58.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,2000,650,50,2,0
false,2,A4Tech Bloody V7,125.0,80.0,39.0,155.0,Ergonomic,Center,Flat,Inward,Right,Yes,Yes,Plastic,Wired,Avago A3305,Optical,Front - moderate (56%),3200,1000,-,-,2,3
false,,VAXEE XE Wireless,124.0,66.0,38.7,76.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),3200,1000,650,50,2,1
false,4,HyperX Pulsefire Haste 2 Wireless,124.2,66.8,38.2,60.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wireless,HyperX 26K,Optical,Front - minimal (54%),26000,1000,650,50,2,1
false,3,HyperX Pulsefire Haste 2 Wired,124.2,66.8,38.2,52.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wired,HyperX 26K,Optical,Front - minimal (54%),26000,8000,650,50,2,1
false,1,Razer Diamondback 2015,125.0,60.0,38.1,89.0,Symmetrical,Back - minimal,Flat,Inward - aggressive,Right,No,No,Plastic,Wired,Razer Razer 5G,Optical,Front - moderate (56%),16000,1000,450,50,2,0
false,2,Zowie EC3-CW,119.0,66.0,41.0,76.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (54%),3200,1000,400,50,2,0
false,2,Zowie EC2-CW,123.0,65.0,42.0,77.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (53%),3200,1000,400,50,2,0
false,2,Zowie EC1-CW,130.0,69.0,42.0,79.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (55%),3200,1000,400,50,2,0
false,2,Razer Basilisk V2,130.0,75.0,42.0,92.0,Ergonomic,Back - minimal,Flat,Flat,Right,Yes,No,Plastic,Wired,Razer Focus+,Optical,Back - minimal (46%),20000,1000,650,50,3,2
false,,Razer Krait 2013,116.0,52.0,36.0,85.0,Symmetrical,Back - minimal,Outward - moderate,Inward - aggressive,Ambidextrous,No,No,Plastic,Wired,Razer Razer 4G,Optical,Back - minimal (45%),6400,1000,200,50,0,0
false,1,PureTrak Valor Wireless,125.0,63.0,39.8,63.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,1
false,5,ASUS ROG Harpe Ace,127.5,63.7,39.6,54.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,ASUS ROG AimPoint,Optical,Centered (50%),36000,1000,650,50,2,0
false,,Xenics Titan GX Air Wireless,120.0,60.0,38.0,76.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (55%),19000,1000,400,50,2,1
false,2,Xtrfy M42 (lower back),118.0,63.0,38.0,61.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wired,PixArt PMW3389,Optical,Centered (51%),16000,1000,400,50,2,1
false,,Tecware Pulse Elite,125.0,63.5,40.0,70.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (54%),19000,1000,400,50,2,1
false,,SPC Gear LIX Plus Wireless,126.0,65.7,38.5,69.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (55%),19000,1000,400,50,2,1
false,1,ELECOM VM600PE,123.5,66.5,42.0,75.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,2
false,3,Glorious Model I 2 Wireless,129.0,72.0,42.0,75.0,Ergonomic,Back - minimal,Flat,Inward,Right,Yes,No,Plastic,Wireless,Glorious BAMF 2.0,Optical,Centered (52%),26000,1000,650,50,4,2
false,2,Glorious Model O 2 Wired,126.0,66.0,38.0,59.0,Symmetrical,Center,Flat,Inward,Right,No,No,Plastic,Wired,Glorious BAMF 2.0,Optical,Front - minimal (55%),26000,1000,650,50,2,1
false,3,Razer Basilisk X HyperSpeed,130.0,75.0,42.0,83.0,Ergonomic,Back - minimal,Flat,Flat,Right,Yes,No,Plastic,Wireless,Razer Razer 5G,Optical,Back - minimal (46%),16000,1000,450,50,2,0
false,3,Glorious Model O 2 Wireless,126.0,66.0,38.0,68.0,Symmetrical,Center,Flat,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF 2.0,Optical,Front - minimal (55%),26000,1000,650,50,2,1
false,3,Cooler Master MM712,116.6,62.6,38.3,58.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wired,PixArt PAW3370,Optical,Front - aggressive (62%),19000,1000,400,50,2,0
false,3,G-Wolves HSK Pro 4K,73.3,56.0,29.0,29.0,Symmetrical,Back - aggressive,Inward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),26000,4000,650,50,2,0
false,2,G-Wolves HSK Pro Ace,73.3,56.0,29.0,25.0,Symmetrical,Back - aggressive,Inward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),26000,1000,650,50,2,0
false,1,Logitech M100,113.0,62.0,38.0,90.0,Symmetrical,Back - minimal,Inward - moderate,Flat,Ambidextrous,No,No,Plastic,Wired,-,-,Centered (47%),1000,125,-,-,0,0
false,2,Dornfinger Veno-S,126.0,63.3,38.4,68.0,Symmetrical,Center,Flat,Flat,Ambidextrous,No,No,Plastic,Wired,PixArt PAW3370,Optical,Front - aggressive (63%),19000,1000,400,50,2,1
false,3,Xtrfy M8 Wireless,118.0,60.5,38.5,55.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,0
