false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,4,Waizowl OGM Cloud XS,117.0,63.0,36.0,45.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (55%),30000,8000,750,50,2,0
false,,cOoLm0Dz OPt1p,95.7,62.5,37.0,30.0,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wired,PixArt PAW3395,Optical,Back - minimal (44%),26000,8000,650,50,0,0
false,5,Pulsar X2 CrazyLight,116.0,61.0,37.0,35.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,Pulsar XS-1,Optical,Front - minimal (55%),32000,8000,750,50,2,0
false,2,IPI Float,119.5,60.9,37.0,42.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Carbon fiber composite,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,0
false,1,Razer Imperator,123.0,71.0,42.0,139.0,Ergonomic,Center,Outward - moderate,Inward,Right,Yes,No,Plastic,Wired,Razer Razer 4G,Optical,Centered (50%),6400,1000,200,50,2,2
false,3,PHYLINA S480,118.0,61.0,40.0,36.0,Symmetrical,Back - minimal,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,0
false,3,Pulsar X2H v3 Mini,115.6,62.4,37.9,51.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wireless,Pulsar XS-1,Optical,Front - minimal (55%),32000,8000,750,50,2,0
false,3,Pwnage StormBreaker V2,122.0,64.0,42.0,50.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Adjustable (48-62%),26000,8000,650,50,2,0
false,2,Redragon M995 Pro,126.0,63.8,39.9,51.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - aggressive (60%),26000,1000,650,50,2,1
false,1,Redragon M995,126.0,63.8,39.9,51.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wired,PixArt PAW3395,Optical,Front - aggressive (60%),26000,1000,650,50,2,1
false,1,Amazon Basics Mouse,109.0,61.0,34.3,52.0,Symmetrical,Back - moderate,Inward - moderate,Flat,Ambidextrous,No,No,Plastic,Wired,-,-,Front - moderate (59%),1000,125,-,-,0,0
false,1,HyperX Pulsefire Warp,120.0,65.4,37.8,74.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3335,Optical,Centered (49%),16000,1000,400,40,2,1
false,1,Redragon M991,128.3,74.5,42.0,122.0,Ergonomic,Back - moderate,Outward - slight,Flat,Right,Yes,No,Plastic,Wireless,PixArt PAW3370,Optical,Centered (51%),19000,1000,400,50,2,3
false,1,Redragon M810 Pro,128.3,74.5,42.0,-,Ergonomic,Back - moderate,Outward - slight,Flat,Right,Yes,No,Plastic,Wireless,PixArt PMW3325,Optical,Centered (51%),10000,1000,100,20,2,3
false,1,Zaopin Z2 Max,123.0,64.3,39.5,65.0,Ergonomic,Center,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - moderate (57%),30000,8000,750,50,2,0
false,1,Zaopin Z1 Pro Max,109.5,62.0,38.5,52.0,Symmetrical,Back - minimal,Inward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,0
false,1,Redragon M693,130.0,60.0,43.0,90.0,Ergonomic,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3104,Optical,Front - moderate (56%),8000,1000,45,15,2,2
false,,VAXEE ZYGEN NP-01S V2 Wireless,120.0,63.0,37.0,57.0,Hybrid,Back - moderate,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),3200,4000,750,50,2,0
false,1,TMKB Falcon M1SE,124.8,62.9,40.5,75.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wired,PixArt PMW3325,Optical,Centered (52%),12800,1000,100,20,2,1
false,2,Redragon M656 Gainer,128.5,74.0,41.0,138.4,Ergonomic,Center,Flat,Flat,Right,Yes,No,Plastic,Wired,PixArt PAW3104,Optical,-,3200,500,45,15,2,2
false,4,AULA SC800,116.5,61.5,38.7,37.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,1000,650,50,2,0
false,2,Redragon M913 Impact Elite,122.5,92.0,42.0,128.0,Ergonomic,Center,Outward - slight,Flat,Right,Yes,Yes,Plastic,Wireless,PixArt PAW3335,Optical,Front - aggressive (61%),16000,1000,400,40,12,2
