false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,4,AULA SC680,123.2,62.4,39.5,58.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,8000,650,50,2,0
false,3,ASUS ROG Keris II Ace,121.0,67.0,42.0,54.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,ASUS ROG AimPoint Pro,Optical,Front - minimal (53%),42000,8000,750,50,2,0
false,3,Metapanda P1 Pro Max,123.0,65.1,41.0,65.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (57%),26000,4000,650,50,2,1
false,3,Metapanda P1 Pro,123.0,65.1,41.0,65.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (57%),26000,4000,650,50,2,1
false,2,Logitech G303 Shroud Edition,117.0,70.0,40.0,75.0,Symmetrical,Back - moderate,Inward - aggressive,Inward - aggressive,Right,No,No,Plastic,Wireless,Logitech HERO 25K,Optical,Centered (49%),25600,1000,400,40,2,1
false,3,Metapanda P1,123.0,65.1,41.0,60.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (57%),26000,1000,650,50,2,1
false,7,LAMZU MAYA 4K,119.0,62.0,38.0,45.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,0
false,5,AJAZZ AJ199 Pro 4K,119.8,63.4,39.7,59.0,Ergonomic,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (48%),26000,4000,650,50,2,0
false,1,Darmoshark M3 XS,116.0,60.4,36.0,44.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,4000,650,50,2,0
false,5,Darmoshark M2,115.8,60.4,36.1,37.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,0
