false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,,Dream Machines DM6 Trio,129.0,66.0,40.0,81.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Centered (52%),19000,1000,400,50,2,1
false,2,Mountain Makalu 67,127.0,70.2,42.2,67.0,Ergonomic,Center,Flat,Inward,Right,No,No,Plastic,Wired,PixArt PAW3370,Optical,Front - minimal (53%),19000,1000,400,50,2,1
false,1,Gamesense META Wired,119.0,59.0,38.5,65.0,Symmetrical,Back - moderate,Outward - moderate,Inward,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Front - moderate (57%),12000,1000,250,50,2,1
false,3,Pwnage Ergo Wireless,120.0,66.0,42.0,69.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (53%),19000,1000,400,50,2,1
false,2,Pwnage Ergo,120.0,66.0,42.0,62.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wired,PixArt PMW3389,Optical,Front - minimal (53%),16000,1000,400,50,2,1
false,4,Glorious Model O Wireless,128.0,66.0,38.0,69.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF,Optical,Front - minimal (55%),19000,1000,400,50,2,1
false,3,Pwnage Ambi Wireless,118.0,60.0,38.0,71.0,Symmetrical,Back - minimal,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Adjustable (48-62%),19000,1000,400,50,2,1
false,2,Pwnage Symm 2,118.0,60.0,39.0,59.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wired,PixArt PMW3389,Optical,Front - moderate (56%),16000,1000,400,50,2,1
false,3,Pwnage Symm 2 Wireless,118.0,60.0,39.0,71.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - moderate (56%),19000,1000,400,50,2,1
false,2,Pwnage Symm 1,120.0,60.0,38.0,65.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wired,PixArt PMW3389,Optical,Front - minimal (54%),16000,1000,400,50,2,1
false,2,Pwnage Symm 1 Wireless,120.0,60.0,38.0,74.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (54%),19000,1000,400,50,2,1
false,2,ASUS TUF M4 Air,126.0,63.5,39.6,47.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wired,PixArt PAW3335,Optical,Centered (48%),16000,1000,400,40,2,1
false,2,ASUS TUF M4 Wireless,126.0,63.5,39.6,86.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3311,Optical,Centered (48%),12000,1000,300,35,2,1
