false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,2,MACHENIKE L8 Max,128.7,68.5,43.5,66.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (48%),26000,1000,650,50,2,0
false,1,MACHENIKE L8 Air,117.5,62.6,38.3,58.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,0
false,2,MACHENIKE L8 Pro,122.0,72.0,39.0,83.0,Ergonomic,Center,Outward - slight,Flat,Right,Yes,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (47%),26000,1000,650,50,2,1
false,2,Rapoo VT9PRO 4K,124.8,67.1,38.7,68.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3398,Optical,Centered (51%),26000,4000,650,50,2,2
false,1,AULA SC580,119.0,62.0,38.0,81.9,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PMW3325,Optical,Centered (48%),10000,1000,100,20,2,0
false,1,Lenovo Legion M410,127.8,65.0,39.0,100.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3335,Optical,Front - minimal (55%),16000,1000,400,40,2,1
false,1,PMM CYBER 4.1,78.9,60.5,29.0,20.2,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,0
false,2,Xiaomi X1,125.3,63.4,40.6,65.0,Symmetrical,Back - moderate,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,8000,650,50,2,0
false,2,Endgame Gear OP1 8K Purple,118.2,60.5,37.2,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wired,PixArt PAW3950,Optical,Front - moderate (56%),30000,8000,750,50,2,0
false,1,Apple Magic Mouse,113.5,57.1,21.6,99.0,Symmetrical,Center,Flat,Inward - aggressive,Ambidextrous,No,No,Plastic,Wireless,-,-,Front - aggressive (81%),1300,120,-,-,0,0
false,1,Swiftpoint ErgoPoint,110.0,72.0,75.0,100.0,Ergonomic,Back - moderate,Inward - aggressive,Outward - aggressive,Right,Yes,No,Plastic,Wireless,-,-,-,3200,1000,-,-,2,1
false,1,HUO JI E-YOOSO,122.0,65.0,40.0,49.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,1000,650,50,2,0
false,1,Lenovo Legion M600s,117.6,59.1,38.4,69.0,Symmetrical,Back - minimal,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,Front - minimal (53%),19000,1000,400,50,2,0
false,1,Lenovo Legion M300s,117.6,59.1,38.4,57.0,Symmetrical,Back - minimal,Flat,Flat,Right,No,No,Plastic,Wired,PixArt PAW3327,Optical,Centered (49%),8000,1000,220,30,2,0
false,3,AJAZZ AM3 Max,112.9,57.9,36.3,49.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Front - moderate (57%),30000,8000,750,50,2,0
false,3,AJAZZ AM3 Pro,112.9,57.9,36.3,49.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Front - moderate (57%),30000,8000,750,50,2,0
false,1,PMM VORTEX 4K M,120.8,62.4,37.3,32.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,4000,650,50,2,0
false,1,Finalmouse ULX Competition Small,115.6,60.0,35.2,33.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Carbon fiber composite,Wireless,PixArt PAW3395,Optical,Centered (50%),6400,8000,650,50,2,0
false,,Finalmouse ULX Competition Medium,121.3,62.0,37.0,36.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Carbon fiber composite,Wireless,PixArt PAW3395,Optical,Centered (50%),6400,8000,650,50,2,0
false,,Finalmouse ULX Competition Classic,126.0,65.0,38.4,38.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Carbon fiber composite,Wireless,PixArt PAW3395,Optical,Centered (50%),6400,8000,650,50,2,0
false,2,Glorious Model O 2 Mini Wireless,120.0,62.0,36.0,57.0,Symmetrical,Center,Flat,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF 2.0,Optical,Front - minimal (55%),26000,1000,650,50,2,1
false,2,Glorious Model O 2 Mini,120.0,62.0,36.0,49.0,Symmetrical,Center,Flat,Inward,Right,No,No,Plastic,Wired,Glorious BAMF 2.0,Optical,Front - minimal (55%),26000,1000,650,50,2,1
false,1,Nixeus Revel Fit,130.0,69.0,42.0,99.0,Ergonomic,Center,Outward - slight,Inward,Right,Yes,No,Plastic,Wired,PixArt PMW3360,Optical,Front - minimal (55%),12000,1000,250,50,2,1
false,1,Nixeus Revel-X,122.0,65.0,37.0,85.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Plastic,Wired,PixArt PAW3370,Optical,Back - minimal (44%),19000,1000,400,50,2,2
