false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,1,Kysona M600 V2,118.3,61.8,39.6,55.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,1000,650,50,2,1
false,2,SOLAKAKA SM809 Pro,120.0,78.5,50.0,95.0,Ergonomic,Back - moderate,Flat,Flat,Right,Yes,No,Plastic,Wireless,PixArt PAW3311,Optical,-,24000,1000,300,35,9,2
false,1,SOLAKAKA SM802 Pro,121.0,63.5,39.5,62.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3311,Optical,-,24000,1000,300,35,2,2
false,2,SOLAKAKA SM805,117.0,67.0,41.5,66.0,Ergonomic,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3311,Optical,-,24000,1000,300,35,2,0
false,2,SOLAKAKA SM850,122.2,63.9,39.1,55.0,Ergonomic,Back - minimal,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3311,Optical,-,24000,1000,300,35,2,0
false,2,SOLAKAKA SM809,120.0,78.5,50.0,85.0,Ergonomic,Back - moderate,Flat,Flat,Right,Yes,No,Plastic,Wired,PixArt PAW3311,Optical,-,24000,1000,300,35,9,2
false,2,SOLAKAKA SM802,121.0,63.5,39.5,62.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PMW3325,Optical,-,10000,1000,100,20,2,2
false,,Mighty Mouse MM8K,82.0,55.0,19.0,20.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wired,PixArt PAW3395,Optical,Back - minimal (44%),26000,8000,650,50,0,0
false,1,HyperX Pulsefire Haste 2 Pro,124.2,66.8,38.2,60.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wireless,HyperX 26K,Optical,Front - minimal (54%),26000,4000,650,50,2,1
false,2,SteelSeries Kana V2,124.0,64.0,37.0,88.0,Symmetrical,Back - minimal,Flat,Flat,Right,No,No,Plastic,Wired,PixArt PAW3305DK-H,Optical,Centered (47%),6400,1000,50,30,2,1
false,2,Redragon M813 Pro,124.0,77.0,42.0,-,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wireless,PixArt PAW3395,Optical,Centered (48%),26000,1000,650,50,3,2
false,1,Redragon M813 Wired,124.0,77.0,42.0,-,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wired,PixArt PAW3333,Optical,Centered (48%),16000,1000,300,35,3,2
false,3,JAMESDONKEY RSR5s,118.7,63.5,37.1,55.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,0
false,3,JAMESDONKEY RSR5,118.7,63.5,37.1,55.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,-,30000,8000,750,50,2,0
false,1,ROCCAT LUA,115.0,64.0,34.0,70.0,Symmetrical,Back - aggressive,Flat,Inward,Ambidextrous,No,No,Plastic,Wired,Avago A3050,Optical,Back - minimal (46%),2000,1000,60,20,0,1
false,2,Epomaker Click,121.0,63.6,38.7,58.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (53%),42000,8000,750,50,2,2
false,1,Realforce RM1,122.0,67.0,42.0,83.0,Ergonomic,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Centered (50%),12000,1000,250,50,2,1
false,5,LAMZU Inca,122.0,63.0,40.0,40.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Centered (52%),30000,8000,750,50,2,0
false,1,Lenovo Yoga Pro,129.0,72.0,44.0,100.0,Ergonomic,Center,Outward - moderate,Flat,Right,Yes,No,Plastic,Wireless,-,-,Front - moderate (59%),4000,1000,-,-,2,1
false,,HaunterWell HZS,86.0,59.0,31.0,26.0,Symmetrical,Back - aggressive,Outward - slight,Flat,Ambidextrous,No,No,Plastic,Wired,PixArt PAW3395,Optical,-,26000,8000,650,50,0,0
false,3,Akko Pulse 01,123.4,63.3,40.5,69.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,1
false,1,Lofree Hypace,121.4,62.7,37.9,47.0,Symmetrical,Back - minimal,Inward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,-,40000,8000,750,50,2,0
false,4,Pwnage StormBreaker V3,122.0,64.0,42.0,49.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Adjustable (48-62%),36000,8000,750,50,2,0
false,2,Darmoshark M2 Pro,115.8,60.4,36.1,40.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,0
false,1,Logitech ERGO M575,134.0,100.0,48.0,145.0,Ergonomic,Center,-,-,Right,Yes,Yes,Plastic,Wireless,-,-,-,2000,125,-,-,0,0
false,1,Logitech M196,100.0,60.0,38.0,76.0,Symmetrical,Back - moderate,Inward - slight,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Centered (52%),1000,125,-,-,0,0
false,1,Logitech MX Anywhere 3S,100.5,65.0,34.4,99.0,Symmetrical,Back - minimal,Inward - slight,Inward,Right,No,No,Plastic,Wireless,Logitech Darkfield,Laser,Back - minimal (44%),1000,125,-,-,2,1
false,1,Logitech MX Anywhere 2S,100.5,65.0,34.4,99.0,Symmetrical,Back - minimal,Inward - slight,Inward,Right,No,No,Plastic,Wireless,Logitech Darkfield,Laser,Back - minimal (44%),1000,125,-,-,2,1
false,1,Logitech M170,97.7,61.5,35.2,69.3,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Back - minimal (46%),1000,125,-,-,0,0
false,1,Logitech M705 Marathon,109.0,71.0,42.0,135.0,Ergonomic,Center,Inward - slight,Flat,Right,Yes,No,Plastic,Wireless,-,-,Front - aggressive (65%),1000,125,-,-,2,1
false,2,Logitech POP Mouse,104.8,59.4,35.2,82.0,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Back - aggressive (39%),4000,125,-,-,0,0
