false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,,Ardor Gaming Fury Beast,130.0,73.0,43.0,95.0,Ergonomic,Center,Outward - aggressive,Inward,Right,No,No,Plastic,Wired,PixArt PAW3327,Optical,Centered (50%),12400,1000,220,30,2,2
false,,Ardor Gaming Fury Pro,130.0,73.0,43.0,95.0,Ergonomic,Center,Outward - aggressive,Inward,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Centered (50%),12000,1000,250,50,2,2
false,,Ardor Gaming Fury,130.0,73.0,43.0,108.0,Ergonomic,Center,Outward - aggressive,Inward,Right,No,No,Plastic,Wired,PixArt PMW3325,Optical,Centered (50%),10000,1000,100,20,2,2
false,,Ardor Gaming Phantom Pro V2,125.0,63.0,39.8,67.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,1
false,,Ardor Gaming Phantom Pro,125.0,63.0,39.8,67.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3335,Optical,Centered (52%),16000,1000,400,40,2,1
false,,Ardor Gaming Phantom Pro Wired,125.0,63.0,39.8,55.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wired,PixArt PAW3327,Optical,Centered (52%),12400,1000,220,30,2,1
false,2,Mionix Naos Pro,131.0,85.0,39.0,102.0,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wired,PixArt PAW3370,Optical,Back - minimal (45%),19000,1000,400,50,2,2
false,2,Mionix Naos QG,131.0,85.0,39.0,103.0,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wired,PixArt PMW3360,Optical,Back - minimal (45%),12000,1000,250,50,2,2
false,1,Mionix Naos 8200,131.0,85.0,39.0,99.0,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wired,Avago ADNS-A9800,Optical,Centered (48%),8200,1000,150,30,2,2
false,1,Mionix Naos 7000,131.0,85.0,39.0,103.0,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wired,Avago ADNS-3310,Optical,Back - minimal (45%),7000,1000,215,-,2,2
false,4,Razer Naga Left-Handed,119.0,72.0,43.0,109.0,Ergonomic,Center,Outward - slight,Flat,Left,No,Yes,Plastic,Wired,Razer Focus+,Optical,Centered (48%),20000,1000,650,50,12,2
false,1,Mionix Naos 3200,131.0,85.0,39.0,99.0,Ergonomic,Center,Flat,Flat,Right,Yes,Yes,Plastic,Wired,-,-,Back - minimal (45%),3200,1000,-,-,2,2
