false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,2,Pulsar X3 LHD,124.6,69.3,43.1,50.0,Ergonomic,Back - moderate,Outward - moderate,Flat,Left,No,No,Plastic,Wireless,Pulsar XS-1,Optical,Centered (51%),32000,8000,750,50,2,0
false,2,Pulsar X3 LHD Mini,119.8,66.6,41.4,50.0,Ergonomic,Back - moderate,Outward - moderate,Flat,Left,No,No,Plastic,Wireless,Pulsar XS-1,Optical,Centered (51%),32000,8000,750,50,2,0
false,3,G-Wolves HTX Mini 8K,109.0,60.0,35.0,27.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - aggressive (62%),26000,8000,650,50,2,0
false,4,WLmouse Sword X,123.0,67.0,42.0,47.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950 HS,Optical,Centered (52%),30000,8000,750,50,2,0
false,2,Kysona M617,123.8,63.1,39.0,57.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,8000,650,50,2,1
false,2,Zowie ZA11-B,129.0,67.0,42.0,82.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Front - moderate (56%),3200,1000,250,50,2,0
false,1,Turtle Beach Kone II Air,130.2,82.6,44.1,110.0,Ergonomic,Center,Flat,Flat,Right,Yes,No,Plastic,Wireless,ROCCAT Owl-Eye 26K,Optical,Front - minimal (53%),26000,1000,650,50,3,2
false,1,Turtle Beach Kone II,130.2,82.6,44.1,90.0,Ergonomic,Center,Flat,Flat,Right,Yes,No,Plastic,Wired,ROCCAT Owl-Eye 26K,Optical,Front - minimal (53%),26000,1000,650,50,3,2
false,,HaunterWell HMF,85.0,56.0,32.0,24.0,Symmetrical,Back - aggressive,Outward - slight,Flat,Ambidextrous,No,No,Plastic,Wired,PixArt PAW3399,Optical,-,20000,8000,650,50,0,0
false,,HaunterWell HFC,88.0,58.0,34.0,31.0,Symmetrical,Back - aggressive,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,0
false,,HaunterWell HZ1,112.0,62.0,33.0,34.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,0
false,2,Corsair Dark Core RGB Pro,127.0,81.0,43.0,137.0,Ergonomic,Center,Inward - slight,Flat,Right,Yes,No,Plastic,Wireless,PixArt PAW3392,Optical,Front - moderate (59%),18000,2000,400,40,2,1
false,2,SteelSeries Sensei 310,125.1,70.4,39.0,92.0,Symmetrical,Back - minimal,Flat,Inward,Ambidextrous,No,No,Plastic,Wired,SteelSeries TrueMove 3,Optical,Centered (48%),12000,1000,350,50,2,1
false,5,VXE MAD R Major,120.1,63.1,38.1,36.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,0
false,4,VXE MAD R,120.1,63.1,38.1,36.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,8000,650,50,2,0
false,2,Zowie ZA11-C,129.0,67.0,42.0,72.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Front - moderate (56%),3200,1000,250,50,2,0
false,3,Attack Shark R2,117.6,61.8,38.9,45.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Front - minimal (54%),42000,8000,750,50,2,0
false,,Xtro Eris,120.0,66.0,42.0,69.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,1
false,1,RAWM SA-SH01 Pro,117.7,61.2,38.1,55.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - moderate (58%),30000,8000,750,50,2,1
false,1,RAWM SA-SH01,117.7,61.2,38.1,60.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (58%),26000,1000,650,50,2,1
false,1,LAMZU PARO,120.0,65.0,40.0,48.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,8000,650,50,2,0
false,3,Delux M500 Pro,118.0,65.0,41.0,59.0,Ergonomic,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,8000,650,50,2,0
false,4,AJAZZ AJ179 APEX,117.8,65.6,41.3,58.0,Ergonomic,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950 APEX,Optical,-,42000,8000,750,50,2,0
false,4,AJAZZ AJ179 PRO,117.8,65.6,41.3,58.0,Ergonomic,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,2,0
false,4,AJAZZ AJ179P,117.8,65.6,41.3,58.0,Ergonomic,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,0
false,4,AJAZZ AJ179,117.8,65.6,41.3,58.0,Ergonomic,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,0
false,2,Zowie FK2-B V2,125.1,64.9,36.4,80.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Front - moderate (56%),3200,1000,250,50,2,0
false,1,PMM CYBER 4.0,72.3,59.7,27.2,20.0,Symmetrical,Back - moderate,Inward - slight,Flat,Ambidextrous,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,8000,650,50,0,0
false,,Noir M1,120.7,59.6,38.9,70.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3370,Optical,-,19000,1000,400,50,2,1
false,,Noir M1 Lite,120.7,59.6,38.9,70.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PMW3325,Optical,-,10000,1000,100,20,2,1
